State,Income ($),Personal Consumption Expenditure ($),GDP (million $),Median House Value ($),Population,Population in Poverty,Year
Alabama,36879,24839,157914,109000,4429774,754258,2005
Alaska,56234,36041,40277,210000,637581,71266,2005
Arizona,44282,28062,227047,205200,5802691,824008,2005
Arkansas,34999,23591,90112,96000,2690029,461842,2005
California,53629,31008,1760508,494900,35121550,4673274,2005
Colorado,50652,32745,222415,230200,4549942,504106,2005
Connecticut,60941,37213,208154,285800,3383920,281408,2005
Delaware,52499,33151,52901,216100,815074,84811,2005
District of Columbia,47221,43140,83968,401100,513137,97617,2005
Florida,42433,29446,700222,208500,17308881,2214381,2005
Georgia,45604,27318,376626,157100,8789109,1266205,2005
Hawaii,58112,31519,58123,463700,1233771,121418,2005
Idaho,41443,25907,47990,141700,1388730,192390,2005
Illinois,50260,30732,588847,200500,12400389,1483873,2005
Indiana,43993,27586,247048,121600,6059510,740371,2005
Iowa,43609,27336,124021,115300,2853572,310230,2005
Kansas,42920,26982,106864,122800,2651109,309561,2005
Kentucky,37369,25253,144174,116100,4042777,680151,2005
Louisiana,36729,24117,200436,115500,4372948,864277,2005
Maine,42801,32158,46052,165600,1275738,160627,2005
Maryland,61592,33466,264729,299200,5438712,448038,2005
Massachusetts,57184,38421,344145,370300,6165256,637043,2005
Michigan,46039,28776,396268,158800,9830885,1299688,2005
Minnesota,52024,33101,244800,212100,4971644,456642,2005
Mississippi,32938,22677,82274,91800,2812795,600288,2005
Missouri,41974,28419,225268,133600,5607978,748023,2005
Montana,39301,28657,30425,143400,907715,130441,2005
Nebraska,43849,28756,74415,123600,1702182,186178,2005
Nevada,49169,29494,116764,300200,2364173,262092,2005
New Hampshire,56768,36650,56123,253300,1267761,95090,2005
New Jersey,61672,37082,444973,347400,8500251,738969,2005
New Mexico,37492,26373,74063,138300,1878500,347759,2005
New York,49480,33044,1024329,297800,18589066,2565836,2005
North Carolina,40729,25692,357711,138100,8381074,1262770,2005
North Dakota,41030,29323,24709,104000,607265,68199,2005
Ohio,43493,28390,468197,137100,11117437,1450650,2005
Oklahoma,37063,24346,125106,97700,3420671,564544,2005
Oregon,42944,29841,147583,211400,3538430,498854,2005
Pennsylvania,44537,30242,505091,147900,11936227,1420396,2005
Rhode Island,51458,31876,45250,292500,1029258,126150,2005
South Carolina,39316,25726,144754,123900,4101201,638643,2005
South Dakota,40310,28377,31552,117000,742505,101286,2005
Tennessee,38874,26180,228730,121600,5787456,899717,2005
Texas,42139,27317,999641,120800,22190338,3905148,2005
Utah,47934,26416,94876,170500,2420872,246047,2005
Vermont,45686,34064,23483,183300,600532,68793,2005
Virginia,54240,31645,358730,242300,7309802,728947,2005
Washington,49262,31957,296731,237100,6118254,729470,2005
West Virginia,33452,24363,53331,94900,1763891,317240,2005
Wisconsin,47105,29392,226963,160200,5355146,545650,2005
Wyoming,46202,30252,27748,141000,492923,46809,2005
Alabama,38783,25692,165131,87300,4482152,742064,2006
Alaska,59393,37647,44867,170500,651997,70919,2006
Arizona,47265,29771,248075,165600,6052150,857349,2006
Arkansas,36599,24631,95727,80200,2729090,471155,2006
California,56645,32796,1868969,460600,35675356,4690140,2006
Colorado,52015,33946,233142,208100,4653251,556153,2006
Connecticut,63422,39210,220994,266400,3393432,280108,2006
Delaware,52833,34495,55826,189600,828673,91962,2006
District of Columbia,51847,44763,88502,379600,551161,108100,2006
Florida,45495,31153,748021,183100,17686295,2226587,2006
Georgia,46832,28234,393920,119900,9082715,1333524,2006
Hawaii,61160,33429,61684,515700,1252117,116147,2006
Idaho,42865,27438,51821,139900,1431508,180177,2006
Illinois,52006,32138,623535,159400,12516453,1539033,2006
Indiana,45394,28565,258525,101100,6125557,777712,2006
Iowa,44491,28604,128346,95900,2878398,316122,2006
Kansas,45478,28416,113738,86800,2679951,330976,2006
Kentucky,39372,26415,152394,87400,4087474,693479,2006
Louisiana,39337,27065,207944,87700,4165324,793223,2006
Maine,43439,33659,48175,147600,1285599,165956,2006
Maryland,65144,35228,278216,255000,5475889,428345,2006
Massachusetts,59963,40316,359256,347900,6235586,620188,2006
Michigan,47182,29850,397295,130800,9852543,1331833,2006
Minnesota,54023,34247,251221,173800,5036852,491633,2006
Mississippi,34473,24187,87302,76400,2815425,592743,2006
Missouri,42841,29233,234124,110500,5674490,769584,2006
Montana,40627,30367,32635,129800,921449,125655,2006
Nebraska,45474,29910,78581,95400,1715413,197037,2006
Nevada,52998,31064,125387,244800,2460755,253713,2006
New Hampshire,59683,38218,58492,220000,1276753,102404,2006
New Jersey,64470,39175,466524,327800,8540402,741873,2006
New Mexico,40629,27707,77536,107600,1912288,353694,2006
New York,51384,34759,1083194,226300,18770190,2662199,2006
North Carolina,42625,26661,386354,112400,8591303,1261078,2006
North Dakota,41919,30914,26491,78600,605883,69356,2006
Ohio,44532,29264,482227,117400,11156019,1486363,2006
Oklahoma,38770,25699,136804,80700,3461976,587591,2006
Oregon,46230,31403,163033,205300,3626910,480613,2006
Pennsylvania,46259,31539,529969,114600,12015358,1448228,2006
Rhode Island,51814,33462,47659,262000,1026114,114066,2006
South Carolina,41100,26907,152802,97500,4182874,656154,2006
South Dakota,42791,29706,32455,89200,753221,102184,2006
Tennessee,40315,27355,239425,106300,5877686,952256,2006
Texas,44922,28379,1094064,85900,22887307,3868689,2006
Utah,51309,28115,106308,177200,2508619,265432,2006
Vermont,47665,35638,24251,171000,603568,62281,2006
Virginia,56277,33070,378445,161000,7404188,708568,2006
Washington,52583,33495,315723,224200,6261127,736963,2006
West Virginia,35059,25417,56748,78100,1770974,307020,2006
Wisconsin,48772,30772,236444,146500,5401346,591850,2006
Wyoming,47423,32651,33049,130300,499930,46774,2006
Alabama,40554,26501,170431,93200,4506549,759835,2007
Alaska,64333,39275,49365,182500,666618,59625,2007
Arizona,49889,31018,262280,174700,6225486,881257,2007
Arkansas,38134,26017,99641,86800,2753919,492052,2007
California,59948,34381,1952229,459500,35768016,4433014,2007
Colorado,55212,35107,245312,209400,4756244,569386,2007
Connecticut,65967,40738,235143,278000,3387524,268880,2007
Delaware,54610,35876,57132,209000,838497,87956,2007
District of Columbia,54317,47267,93813,407400,559557,91934,2007
Florida,47804,32135,773992,186300,17846751,2158832,2007
Georgia,49136,29104,411469,130000,9286158,1323828,2007
Hawaii,63746,34965,64967,526200,1254854,100051,2007
Idaho,46253,28470,55092,152700,1464460,177806,2007
Illinois,54124,33575,648221,167000,12541198,1496248,2007
Indiana,47448,29392,271497,106700,6145040,757813,2007
Iowa,47292,29608,137266,101400,2881760,317946,2007
Kansas,47451,29617,122349,92000,2688942,300210,2007
Kentucky,40267,27082,155593,91900,4120513,714080,2007
Louisiana,40926,28059,209774,99200,4166756,775425,2007
Maine,45888,35060,49345,148300,1281433,154224,2007
Maryland,68080,36716,290381,283800,5477839,453699,2007
Massachusetts,62365,41494,377939,348500,6244824,621286,2007
Michigan,47950,30605,402425,131900,9832533,1376658,2007
Minnesota,55802,35231,259388,180500,5066767,481947,2007
Mississippi,36338,24772,91975,80600,2821649,581534,2007
Missouri,45114,30300,241716,115300,5708785,742486,2007
Montana,43531,32174,35683,151000,933264,131790,2007
Nebraska,47085,31132,82890,99700,1719387,192822,2007
Nevada,55062,31996,131544,248800,2528598,269953,2007
New Hampshire,62369,39495,59990,229600,1274795,90204,2007
New Jersey,67035,40500,482149,336700,8505944,729211,2007
New Mexico,41452,28861,80525,116200,1925509,349159,2007
New York,53514,36367,1128484,237400,18775329,2570014,2007
North Carolina,44670,27748,395593,116100,8793290,1258988,2007
North Dakota,43753,32591,28696,79100,612565,74035,2007
Ohio,46597,30375,494307,120600,11151314,1464133,2007
Oklahoma,41567,26705,144254,87000,3498298,557030,2007
Oregon,48730,32545,170516,224200,3670490,474189,2007
Pennsylvania,48576,32820,553126,124700,11998834,1393026,2007
Rhode Island,53568,34812,47958,279600,1018722,122128,2007
South Carolina,43329,27897,161106,103800,4270155,641758,2007
South Dakota,43424,31225,35275,90000,768499,100699,2007
Tennessee,42367,28125,243410,114600,5996979,953865,2007
Texas,47548,29353,1179068,90800,23284143,3791183,2007
Utah,55109,29303,116138,198800,2601491,251084,2007
Vermont,49907,36929,24792,184600,600231,60589,2007
